company,name_given,name_family,date_started,date_finished
1st Melbourne (St. Mark's),John,Ashche,1890,?
1st Melbourne (Scots Church),Rev J.,Heyer,1897,?
2nd Melbourne (Methodist Mission),Rev G. H.,Cole,1900,?
4th Melbourne (Williamstown),J.,Cameron,1902,?
4th Melbourne / 2nd Melbourne (Richmond),J. A.,Gaylard,1902,?
5th Melbourne (St Kilda),C. W.,Le Plasnet,1903,?
1st Portland,E. H.,Alston,1902,?
1st Nathalia,George Noble,Elliott,1903,?
1st North Fitzroy,William,Chisholm,1895,?
"St Augustine's, Burwood",Robert,Cochrane,1902,?
